payment_id,order_id,payment_amount,payment_date
1,1,85214.7,2023-04-07
2,2,70598.96,2023-06-21
3,3,64554.18,2023-05-13
4,4,49063.86,2023-01-19
5,5,43873.63,2023-04-20
6,6,3155.36,2023-10-22
7,7,32342.17,2023-05-30
8,8,24987.16,2023-08-10
9,9,35322.77,2023-08-15
10,10,89213.51,2023-12-15
11,11,74714.75,2023-03-03
12,12,67645.03,2023-01-18
13,13,82253.32,2023-04-15
14,14,99268.92,2023-10-28
15,15,11318.79,2023-05-13
16,16,2186.77,2023-06-21
17,17,11485.57,2023-08-24
18,18,29842.76,2023-05-24
19,19,37587.59,2023-09-10
20,20,6234.31,2023-07-13
21,21,88858.95,2023-06-10
22,22,89098.46,2023-08-27
23,23,63102.16,2023-03-11
24,24,31701.87,2023-04-15
25,25,48778.55,2023-03-29
26,26,90522.51,2023-06-26
27,27,22315.72,2023-12-25
28,28,66993.96,2023-04-17
29,29,61643.33,2023-02-01
30,30,60584.35,2023-05-22
31,31,67279.81,2023-08-26
32,32,46364.8,2023-07-06
33,33,43007.36,2023-02-04
34,34,97304.25,2023-04-26
35,35,34778.87,2023-01-29
36,36,32836.87,2023-12-09
37,37,38663.14,2023-12-22
38,38,50237.59,2023-06-19
39,39,14684.92,2023-04-14
40,40,7313.42,2023-05-18
41,41,49934.72,2023-09-07
42,42,47123.84,2023-08-27
43,43,54586.81,2023-09-10
44,44,59895.72,2023-10-07
45,45,83925.5,2023-02-28
46,46,70905.31,2023-03-09
47,47,89266.67,2023-02-17
48,48,74376.72,2023-07-15
49,49,10078.13,2023-10-13
50,50,22215.49,2023-03-17
51,51,880.42,2023-12-14
52,52,61936.14,2023-02-21
53,53,8653.4,2023-06-19
54,54,12873.4,2023-10-26
55,55,56144.87,2023-07-11
56,56,41967.33,2023-07-22
57,57,7924.97,2023-11-28
58,58,45385.45,2023-08-12
59,59,93301.85,2023-07-23
60,60,62444.64,2023-11-08
61,61,13772.17,2023-11-06
62,62,48071.85,2023-02-24
63,63,33538.34,2023-11-17
64,64,83147.35,2023-05-16
65,65,97781.63,2023-01-23
66,66,9914.96,2023-03-27
67,67,73353.33,2023-01-19
68,68,949.12,2023-06-17
69,69,34125.29,2023-03-24
70,70,42475.98,2023-11-13
71,71,98940.12,2023-08-09
72,72,55171.3,2023-07-25
73,73,12652.26,2023-12-14
74,74,39822.23,2023-01-15
75,75,14070.88,2023-09-16
76,76,48864.7,2023-07-19
77,77,94407.16,2023-03-07
78,78,29201.22,2023-03-13
79,79,57066.66,2023-03-13
80,80,55624.67,2023-03-16
81,81,59050.65,2023-04-12
82,82,92543.3,2023-04-19
83,83,49223.28,2023-08-23
84,84,78868.13,2023-08-29
85,85,63555.07,2023-09-29
86,86,549.06,2023-08-04
87,87,89526.23,2023-12-30
88,88,38211.36,2023-05-17
89,89,62088.16,2023-01-14
90,90,76985.64,2023-06-15
91,91,11320.48,2023-09-20
92,92,85840.31,2023-05-06
93,93,43132.49,2023-03-08
94,94,88414.31,2023-08-28
95,95,56985.93,2023-10-08
96,96,37056.55,2023-03-04
97,97,87732.94,2023-02-16
98,98,71312.85,2023-07-27
99,99,44468.98,2023-08-04
100,100,91783.63,2023-09-17
101,101,44196.13,2023-07-12
102,102,53909.42,2023-01-25
103,103,82874.18,2023-06-15
104,104,76463.24,2023-02-22
105,105,2446.56,2023-02-09
106,106,71674.16,2023-12-21
107,107,47775.83,2023-04-29
108,108,14899.21,2023-02-08
109,109,17187.63,2023-05-23
110,110,75782.67,2023-12-22
111,111,99409.9,2023-04-06
112,112,23688.2,2023-05-30
113,113,65044.08,2023-10-06
114,114,55624.91,2023-08-21
115,115,59732.68,2023-05-06
116,116,1600.57,2023-08-29
117,117,15304.33,2023-04-11
118,118,18560.43,2023-02-06
119,119,26043.73,2023-03-28
120,120,39465.45,2023-10-28
121,121,80898.81,2023-06-04
122,122,74659.65,2023-04-03
123,123,45730.24,2023-07-23
124,124,68219.33,2023-07-02
125,125,60559.84,2023-04-29
126,126,785.13,2023-10-04
127,127,61950.54,2023-03-26
128,128,45734.09,2023-03-06
129,129,94316.65,2023-07-17
130,130,99103.57,2023-06-22
131,131,34624.06,2023-01-02
132,132,87580.66,2023-04-07
133,133,26098.07,2023-11-17
134,134,99527.68,2023-01-30
135,135,92962.63,2023-11-28
136,136,4117.85,2023-08-24
137,137,28811.57,2023-09-26
138,138,75449.1,2023-11-25
139,139,11422.19,2023-02-09
140,140,60558.12,2023-04-14
141,141,94622.54,2023-01-16
142,142,43858.49,2023-03-29
143,143,44278.12,2023-06-14
144,144,5649.96,2023-11-13
145,145,50446.68,2023-12-29
146,146,29051.01,2023-03-07
147,147,97099.15,2023-11-12
148,148,52429.18,2023-05-05
149,149,11812.37,2023-09-09
150,150,23363.04,2023-06-12
151,151,93998.86,2023-12-10
152,152,30940.58,2023-03-19
153,153,27009.58,2023-08-03
154,154,26878.58,2023-01-10
155,155,95607.23,2023-07-09
156,156,50437.81,2023-01-30
157,157,33061.99,2023-01-22
158,158,3941.32,2023-05-14
159,159,25145.31,2023-05-30
160,160,48481.66,2023-11-03
161,161,91617.72,2023-09-13
162,162,34109.33,2023-02-15
163,163,20356.15,2023-06-29
164,164,71972.74,2023-02-15
165,165,78708.9,2023-03-15
166,166,36321.66,2023-08-25
167,167,38181.38,2023-06-27
168,168,61623.78,2023-02-10
169,169,25053.19,2023-02-18
170,170,23977.14,2023-06-09
171,171,52503.54,2023-02-11
172,172,12643.66,2023-11-02
173,173,36356.0,2023-05-08
174,174,55852.71,2023-11-19
175,175,31314.24,2023-03-05
176,176,90189.45,2023-07-28
177,177,21569.4,2023-03-11
178,178,77645.01,2023-02-10
179,179,43671.88,2023-07-15
180,180,15817.28,2023-05-05
181,181,92560.2,2023-05-12
182,182,60376.93,2023-10-21
183,183,89062.47,2023-07-17
184,184,12174.64,2023-12-04
185,185,36281.61,2023-09-04
186,186,66088.01,2023-07-22
187,187,88749.11,2023-10-28
188,188,33682.53,2023-03-18
189,189,62913.62,2023-06-16
190,190,95262.48,2023-04-11
191,191,88608.98,2023-01-24
192,192,92620.71,2023-07-26
193,193,26945.31,2023-02-25
194,194,63297.43,2023-04-15
195,195,92855.25,2023-08-29
196,196,63329.87,2023-10-16
197,197,4793.85,2023-12-30
198,198,46108.77,2023-08-21
199,199,50145.04,2023-04-20
200,200,80350.72,2023-05-23
201,201,26115.98,2023-03-21
202,202,28765.33,2023-06-12
203,203,22739.44,2023-06-10
204,204,20046.17,2023-03-04
205,205,85450.34,2023-04-19
206,206,42336.42,2023-03-10
207,207,51434.96,2023-09-30
208,208,9339.39,2023-07-18
209,209,3407.94,2023-03-13
210,210,39693.04,2023-11-13
211,211,76213.04,2023-07-23
212,212,60419.06,2023-12-03
213,213,9777.56,2023-12-18
214,214,52567.71,2023-04-13
215,215,48898.81,2023-07-13
216,216,77275.48,2023-06-12
217,217,25631.6,2023-01-05
218,218,53078.81,2023-09-26
219,219,84082.55,2023-05-14
220,220,2907.34,2023-07-15
221,221,74179.51,2023-07-21
222,222,14893.9,2023-11-09
223,223,26327.7,2023-07-28
224,224,11854.81,2023-09-02
225,225,40698.82,2023-01-28
226,226,49036.73,2023-10-16
227,227,8411.89,2023-06-22
228,228,91427.75,2023-11-09
229,229,68121.73,2023-06-25
230,230,83673.73,2024-01-01
231,231,66683.12,2023-05-09
232,232,24536.62,2023-07-29
233,233,14169.02,2023-04-24
234,234,68514.56,2023-07-25
235,235,62686.72,2023-01-24
236,236,25006.6,2023-10-18
237,237,15185.62,2023-06-23
238,238,19144.38,2023-02-25
239,239,99146.84,2023-04-17
240,240,42353.8,2023-09-20
241,241,33579.92,2023-10-02
242,242,75744.98,2023-07-05
243,243,35250.77,2023-12-29
244,244,43950.47,2023-04-27
245,245,35370.94,2023-07-14
246,246,7595.54,2023-08-28
247,247,13266.51,2023-11-17
248,248,95848.97,2023-02-17
249,249,46574.47,2023-08-03
250,250,38056.2,2023-05-15
251,251,7795.81,2023-08-28
252,252,66647.05,2023-05-15
253,253,70511.08,2023-12-22
254,254,91596.36,2023-09-28
255,255,36550.38,2023-05-02
256,256,85815.82,2023-12-27
257,257,46841.02,2023-06-19
258,258,44348.65,2023-01-06
259,259,14904.61,2023-05-04
260,260,78783.01,2023-02-20
261,261,22917.93,2023-07-06
262,262,22785.65,2023-10-17
263,263,18850.89,2023-08-16
264,264,36102.36,2023-12-24
265,265,4375.74,2023-12-10
266,266,18661.04,2023-09-30
267,267,35656.09,2023-12-05
268,268,81563.41,2023-10-10
269,269,93384.58,2023-07-29
270,270,30573.31,2023-05-14
271,271,46098.73,2023-01-28
272,272,10802.82,2023-05-18
273,273,74386.47,2023-04-19
274,274,42989.07,2023-10-27
275,275,79656.41,2023-04-13
276,276,24956.88,2023-02-17
277,277,42004.62,2023-12-15
278,278,50847.87,2023-05-28
279,279,29589.9,2023-11-06
280,280,48827.49,2023-02-17
281,281,41588.6,2023-12-25
282,282,20390.39,2023-03-04
283,283,51709.6,2023-07-03
284,284,84722.85,2023-10-19
285,285,75148.98,2023-10-06
286,286,8798.55,2023-02-11
287,287,32660.51,2023-08-15
288,288,9529.56,2023-01-17
289,289,44407.89,2023-02-13
290,290,68717.28,2023-02-03
291,291,79458.81,2023-01-26
292,292,14850.92,2023-03-06
293,293,69101.86,2023-08-12
294,294,48186.42,2023-01-06
295,295,60927.95,2023-10-06
296,296,63556.54,2023-11-02
297,297,89312.67,2023-11-17
298,298,53633.53,2023-11-13
299,299,36841.82,2023-04-30
300,300,94203.43,2023-12-08
301,301,56264.41,2023-01-12
302,302,98369.55,2023-07-15
303,303,4671.16,2023-06-20
304,304,67185.69,2023-10-12
305,305,80480.95,2023-02-07
306,306,60417.17,2023-08-19
307,307,31150.15,2023-04-16
308,308,99180.62,2023-09-05
309,309,6873.82,2023-05-10
310,310,83622.54,2023-01-03
311,311,65146.57,2023-11-18
312,312,92010.7,2023-02-23
313,313,30555.49,2023-04-23
314,314,56911.57,2023-07-13
315,315,1805.85,2023-07-20
316,316,8026.95,2023-10-28
317,317,9463.13,2023-05-05
318,318,6726.71,2023-09-27
319,319,44958.39,2023-06-09
320,320,50694.58,2023-01-17
321,321,14801.29,2023-09-06
322,322,62458.6,2023-03-18
323,323,54992.05,2023-04-16
324,324,27148.24,2023-01-08
325,325,49935.13,2023-12-06
326,326,59121.13,2023-03-15
327,327,15181.72,2023-07-24
328,328,44429.56,2023-11-07
329,329,99167.01,2023-10-31
330,330,95546.28,2023-07-09
331,331,70732.93,2023-07-23
332,332,94698.61,2023-12-12
333,333,61979.61,2023-02-12
334,334,2674.78,2023-10-09
335,335,22674.66,2023-11-09
336,336,67371.52,2023-08-10
337,337,55886.75,2023-02-19
338,338,8752.37,2023-04-30
339,339,85762.69,2023-06-19
340,340,24385.28,2023-04-13
341,341,53134.57,2023-10-09
342,342,8861.66,2023-03-24
343,343,6621.45,2023-11-23
344,344,25431.69,2023-12-30
345,345,68456.32,2023-06-28
346,346,42661.4,2023-04-16
347,347,647.72,2023-10-25
348,348,50163.29,2023-03-09
349,349,18272.4,2023-01-02
350,350,18637.61,2023-05-16
351,351,36905.34,2023-04-22
352,352,40987.73,2023-04-07
353,353,80184.87,2023-05-05
354,354,42103.33,2023-12-05
355,355,58875.21,2023-08-01
356,356,57261.8,2023-01-23
357,357,17522.42,2023-01-01
358,358,81816.33,2023-04-17
359,359,10483.79,2023-05-30
360,360,15161.48,2023-07-21
361,361,61229.28,2023-04-05
362,362,93710.15,2023-12-07
363,363,17278.4,2023-09-20
364,364,96106.33,2023-03-17
365,365,50229.19,2023-11-27
366,366,9303.81,2023-08-18
367,367,18683.92,2023-05-28
368,368,27075.55,2023-08-15
369,369,24613.91,2023-12-27
370,370,4825.19,2023-04-28
371,371,65286.54,2023-05-18
372,372,24323.4,2023-12-27
373,373,82176.6,2024-01-01
374,374,28355.27,2023-05-01
375,375,36293.38,2023-09-08
376,376,87990.2,2023-04-14
377,377,46122.93,2023-12-13
378,378,53200.91,2023-06-11
379,379,5132.18,2023-04-24
380,380,54205.44,2023-08-05
381,381,12763.8,2023-02-07
382,382,76264.89,2023-08-07
383,383,51502.35,2023-11-04
384,384,46083.09,2023-04-14
385,385,6360.85,2023-04-17
386,386,54745.49,2023-04-19
387,387,43505.97,2023-09-19
388,388,71740.22,2023-09-20
389,389,60528.97,2023-07-11
390,390,64188.86,2023-02-23
391,391,37951.09,2023-12-14
392,392,76310.28,2023-09-18
393,393,79662.11,2023-07-08
394,394,31623.37,2023-04-01
395,395,87799.75,2023-08-04
396,396,66565.09,2023-10-05
397,397,25018.31,2023-04-08
398,398,7972.96,2023-04-27
399,399,9003.87,2023-12-16
400,400,42302.53,2023-04-25
401,401,49492.15,2023-05-12
402,402,86152.33,2023-07-21
403,403,34799.97,2023-08-26
404,404,41976.26,2023-01-28
405,405,28898.51,2023-04-29
406,406,15524.19,2023-06-22
407,407,66063.29,2023-12-04
408,408,87352.14,2023-10-04
409,409,89959.93,2023-06-01
410,410,61266.58,2023-10-25
411,411,91057.66,2023-08-06
412,412,67548.05,2023-07-11
413,413,73604.44,2023-05-13
414,414,23117.61,2023-07-21
415,415,96045.37,2023-06-18
416,416,4297.63,2023-04-18
417,417,80023.1,2023-12-15
418,418,9981.61,2023-11-17
419,419,14067.83,2023-06-30
420,420,88136.38,2023-09-14
421,421,86949.08,2023-07-24
422,422,25445.01,2023-01-07
423,423,41961.51,2023-03-15
424,424,32189.3,2023-04-16
425,425,94285.55,2023-04-18
426,426,40293.13,2023-09-19
427,427,55411.47,2023-12-13
428,428,63928.36,2023-04-19
429,429,11701.61,2023-07-14
430,430,91798.86,2023-07-17
431,431,77241.88,2023-10-29
432,432,72708.99,2023-05-06
433,433,46946.7,2023-09-05
434,434,54578.96,2023-03-24
435,435,75536.98,2023-06-30
436,436,95429.94,2023-10-17
437,437,46225.82,2023-09-13
438,438,38680.85,2023-04-07
439,439,60503.03,2023-06-24
440,440,20071.06,2023-05-24
441,441,74701.94,2023-10-08
442,442,49993.29,2023-09-28
443,443,42018.35,2023-01-25
444,444,15946.67,2023-01-06
445,445,83896.05,2023-08-03
446,446,69554.04,2023-04-05
447,447,64946.76,2023-07-12
448,448,29296.7,2023-03-17
449,449,28874.37,2023-03-29
450,450,91935.62,2023-09-18
451,451,23761.93,2023-12-08
452,452,31189.56,2023-08-18
453,453,62457.82,2023-09-18
454,454,19840.5,2023-01-27
455,455,20983.22,2023-07-12
456,456,33109.75,2023-07-02
457,457,66100.24,2023-01-23
458,458,67444.23,2023-02-15
459,459,16145.2,2023-03-20
460,460,35575.84,2023-06-08
461,461,18488.29,2023-12-21
462,462,48462.49,2023-07-02
463,463,34813.64,2023-11-14
464,464,51786.18,2023-10-04
465,465,22159.86,2023-10-06
466,466,13808.85,2023-08-01
467,467,80150.89,2023-02-02
468,468,94763.39,2023-05-12
469,469,94654.93,2023-10-01
470,470,90093.04,2023-06-21
471,471,63120.37,2023-08-15
472,472,97302.72,2023-09-09
473,473,70484.69,2023-03-09
474,474,3146.6,2023-07-18
475,475,19113.59,2023-10-15
476,476,69053.82,2023-04-08
477,477,87438.52,2023-12-11
478,478,40225.47,2023-12-24
479,479,3058.38,2023-11-26
480,480,48672.31,2023-06-24
481,481,36567.15,2023-06-08
482,482,8334.65,2023-01-30
483,483,96614.61,2023-06-11
484,484,16145.96,2023-01-28
485,485,36499.52,2023-05-04
486,486,85471.8,2023-11-09
487,487,92025.13,2023-12-30
488,488,4733.85,2023-01-18
489,489,1938.9,2023-09-02
490,490,89559.63,2023-08-28
491,491,77017.76,2023-05-05
492,492,40876.22,2023-02-23
493,493,24652.71,2023-06-05
494,494,23398.82,2023-02-24
495,495,20948.21,2023-12-07
496,496,28903.36,2023-09-11
497,497,75560.51,2023-06-06
498,498,11414.42,2023-08-27
499,499,14313.2,2023-06-10
500,500,78837.41,2023-10-28
